,result_id,cls1,cls2,cls3,cls4,cls5,cls6,cls7,cls8,cls9,cls10,cls11,cls12,cls13,cls14,cls15,cls16,cls17,cls18,cls19,cls20,cls21,cls22,cls23,cls24,cls25,cls26,cls27,cls28
27,/Task555_FeTA2022/BigUNetTrainerFeta__nnUNetPlansv2.1/fold_0/validation_raw/summary.json,0.8445380804341733,0.7722835049215732,0.9018675582827013,0.878165007013076,0.9021351613747624,0.8566890421461145,0.8338798673790411,,,,,,,,,,,,,,,,,,,,,
28,/Task603_MMWHS/nnUNetTrainerV2_S4_D3_W32__nnUNetPlansv2.1/fold_0/validation_raw/summary.json,0.8913058873514597,0.897154714821451,0.944552372285913,0.8772603110807388,0.8685697305107396,0.8795655576042115,0.8148533578008038,,,,,,,,,,,,,,,,,,,,,
29,/Task603_MMWHS/nnUNetTrainerV2_S4_D3_W64__nnUNetPlansv2.1/fold_0/validation_raw/summary.json,0.8904870372558221,0.8841546004221615,0.9471057127047084,0.8754957371059959,0.8774630656701521,0.8625519207629683,0.806366705462576,,,,,,,,,,,,,,,,,,,,,
30,/Task603_MMWHS/nnUNetTrainerV2_S4_D2_W16__nnUNetPlansv2.1/fold_0/validation_raw/summary.json,0.8869347954973681,0.8467628814432164,0.937821144197311,0.8172474644849648,0.8321484239733067,0.8692511831255265,0.7772550395466601,,,,,,,,,,,,,,,,,,,,,
31,/Task603_MMWHS/nnUNetTrainerV2_S6_D2_W16__nnUNetPlansv2.1/fold_0/validation_raw/summary.json,0.8895335532460972,0.9110091091985356,0.9473509505859217,0.9163962560472181,0.8924434607473094,0.894890867051195,0.845489845303157,,,,,,,,,,,,,,,,,,,,,
32,/Task603_MMWHS/nnUNetTrainerV2_S4_D2_W64__nnUNetPlansv2.1/fold_0/validation_raw/summary.json,0.892388433415622,0.8688842574451965,0.9457162096961017,0.8511796081207584,0.8491158449696258,0.8557726392445405,0.7816011835814263,,,,,,,,,,,,,,,,,,,,,
33,/Task603_MMWHS/UNETRTrainer3__nnUNetPlansv2.1/fold_0/validation_raw/summary.json,0.8801680181174915,0.875324963392182,0.9377716350098075,0.8116963802774109,0.8558253162068421,0.8617483320227743,0.8219164060202817,,,,,,,,,,,,,,,,,,,,,
34,/Task603_MMWHS/nnUNetTrainerV2_S6_D2_W64__nnUNetPlansv2.1/fold_0/validation_raw/summary.json,0.8927442479833931,0.9151253489494007,0.9471541926379541,0.9023727019988341,0.894287406291906,0.8904784503097443,0.8493915125699361,,,,,,,,,,,,,,,,,,,,,
35,/Task603_MMWHS/nnUNetTrainerV2_S5_D2_W64__nnUNetPlansv2.1/fold_0/validation_raw/summary.json,0.8920193972681861,0.9058211498265787,0.9471307138841378,0.8746666809265534,0.8893952553231143,0.8844735487086126,0.8349413978295059,,,,,,,,,,,,,,,,,,,,,
36,/Task603_MMWHS/nnUNetTrainerV2_S5_D2_W16__nnUNetPlansv2.1/fold_0/validation_raw/summary.json,0.8894866432328692,0.9126428740907432,0.9465277253604626,0.9115266598156246,0.8949282740512082,0.8937786733207098,0.8568994571168826,,,,,,,,,,,,,,,,,,,,,
37,/Task603_MMWHS/nnUNetTrainerV2_S5_D2_W32__nnUNetPlansv2.1/fold_0/validation_raw/summary.json,0.8912395585985426,0.9138065550382928,0.9472719773934406,0.8969923375904265,0.8953633569348167,0.8900424488903941,0.8512724342090152,,,,,,,,,,,,,,,,,,,,,
38,/Task051_LAScarQS22_task2/BigResUNetTrainer1__nnUNetPlansv2.1/fold_0/validation_raw/summary.json,0.9193718641007346,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,/Task051_LAScarQS22_task2/BigResUNetTrainer2__nnUNetPlansv2.1/fold_0/validation_raw/summary.json,0.9205753432626016,,,,,,,,,,,,,,,,,,,,,,,,,,,
