result_id,avg,cls1,cls2,cls3,cls4,cls5,cls6,cls7,cls8,cls9,cls10,cls11,cls12,cls13,cls14,cls15,cls16,cls17,cls18,cls19,cls20,cls21,cls22,cls23,cls24,cls25,cls26,cls27,cls28,cls29,cls30,cls31,cls32,cls33,cls34,cls35,cls36,cls37,cls38,cls39,cls40,cls41,cls42,cls43,cls44,cls45,cls46,cls47,cls48,cls49,cls50,cls51,cls52,cls53,cls54,cls55,cls56,cls57,cls58,cls59,cls60,cls61,cls62,cls63,cls64,cls65,cls66,cls67,cls68,cls69,cls70,cls71,cls72,cls73,cls74,cls75,cls76,cls77,cls78,cls79,cls80,cls81,cls82,cls83,cls84,cls85,cls86,cls87,cls88,cls89,cls90,cls91,cls92,cls93,cls94,cls95,cls96,cls97,cls98,cls99,cls100,cls101,cls102,cls103,cls104
Task011_BTCV_ep100_BigResUNetTrainerV3_DS_113393_160_noMirror_val_0,0.1683372405845625,0.0,0.0,0.0,0.0,0.5986254696774708,0.22511798629374144,0.16409949861980822,0.6603468287315819,5.002862713027876e-05,0.291726760679211,0.24841755497036908,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task011_BTCV_ep200_BigResUNetTrainerV3_DS_113393_160_noMirror_val_0,0.2016270119998653,0.0,0.0,0.0,0.0,0.5926155802509939,0.2457525934402178,0.39962997478975176,0.7056973488693713,0.073883889427837,0.2443884403681349,0.35918332885194243,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task011_BTCV_ep300_BigResUNetTrainerV3_DS_113393_160_noMirror_val_0,0.20722471388713523,0.0,0.0,0.0,0.0,0.633460806531016,0.26712741754652924,0.38063659672355593,0.7092891670823795,0.09588182233580667,0.2938803438681141,0.3136451264453563,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task011_BTCV_ep400_BigResUNetTrainerV3_DS_113393_160_noMirror_val_0,0.22808961333251015,0.0,0.0,0.0,0.0,0.6175831414474201,0.266062254193081,0.46753662417011305,0.7367777304960184,0.0751954591925695,0.42472863479504047,0.37728112902838934,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task011_BTCV_ep500_BigResUNetTrainerV3_DS_113393_160_noMirror_val_0,0.22891136732126033,0.0,0.0,0.0,0.0,0.6620877577804744,0.29708933819759303,0.43289115787397886,0.7131232846938819,0.05060046254574943,0.43823464356792785,0.3818211305167785,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task011_BTCV_ep600_BigResUNetTrainerV3_DS_113393_160_noMirror_val_0,0.2407696312497099,0.0,0.0,0.0,0.0,0.6689965023861926,0.2556508962894986,0.4765216325753869,0.7113270855092654,0.10528705211189988,0.46885659102281546,0.44314498779737854,0.0,0.0002204585537918871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task011_BTCV_ep700_BigResUNetTrainerV3_DS_113393_160_noMirror_val_0,0.24380173645362205,0.0,0.0,0.0,0.0,0.662907858664239,0.27307268341063956,0.5318471322398707,0.7251709966466544,0.05821034990783592,0.4857780927762272,0.4324354602516202,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task011_BTCV_ep800_BigResUNetTrainerV3_DS_113393_160_noMirror_val_0,0.252071907573622,0.0,0.0,0.0,0.0,0.6738236546307662,0.25992057775796235,0.5292771918397632,0.7220386877635657,0.11949429001961663,0.5072037205061964,0.46517667593921547,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task011_BTCV_ep900_BigResUNetTrainerV3_DS_113393_160_noMirror_val_0,0.24366517951820355,0.0,0.0,0.0,0.0,0.6617291723008246,0.3062502747959994,0.493736437349962,0.7270565711881315,0.09597038065613613,0.4569588131809677,0.42594568426462454,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task032_AMOS22_Task1_ep100_BigResUNetTrainerV3_DS_113393_160_noMirror_val_0,0.18179864552378705,0.0,0.0,0.0,0.0,0.47301861880735574,0.22372421761190248,0.1142884633369627,0.5338866626077943,0.2389598736775763,0.0,0.0,0.10615116216744555,0.6733533936001947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
