,result_id,cls1,cls2,cls3,cls4,cls5,cls6,cls7,cls8,cls9,cls10,cls11,cls12,cls13,cls14,cls15,cls16,cls17,cls18,cls19,cls20,cls21,cls22,cls23,cls24,cls25,cls26,cls27,cls28,cls29,cls30,cls31,cls32,cls33,cls34,cls35,cls36,cls37,cls38,cls39,cls40,cls41,cls42,cls43,cls44,cls45,cls46,cls47,cls48,cls49,cls50,cls51,cls52,cls53,cls54,cls55,cls56,cls57,cls58,cls59,cls60,cls61,cls62,cls63,cls64,cls65,cls66,cls67,cls68,cls69,cls70,cls71,cls72,cls73,cls74,cls75,cls76,cls77,cls78,cls79,cls80,cls81,cls82,cls83,cls84,cls85,cls86,cls87,cls88,cls89,cls90,cls91,cls92,cls93,cls94,cls95,cls96,cls97,cls98,cls99,cls100,cls101,cls102,cls103,cls104
0,BigResUNetTrainerV4_cs128_huge_no_mirror_ep1k_lr0003_all,0.882687962648212,0.8872516811972784,0.960841354332295,0.9753987203395192,0.9734981734092998,0.9542363629977153,0.9555216893803112,0.9774253319271339,0.8890958129773643,0.8236871546989047,0.9512159279201163,0.8461374353353268,0.9084094708432575,0.9339476029995617,0.863372250474646,0.9753395990565784,0.9779053452898986,0.9726278315359734,0.9740480171245904,0.9561968825517734,0.9625160069776616,0.9197231787695547,0.9530679055847525,0.9445130682822822,0.9673567773823758,0.9608235234844762,0.9877944132733709,0.9880386628994948,0.8504548067569749,0.6778882945493927,0.9373224534459919,0.9184717561831913,0.9386663478243871,0.9263986969327632,0.9039030533017198,0.9462302095349984,0.9276027518284935,0.9481023559522991,0.921894322960558,0.9550260166232017,0.9828966262226497,0.9871639569403039,0.9714642329556441,0.9705145861555868,0.917548998925717,0.8633623469396571,0.8626308303576358,0.9109244133450405,0.9591100342485975,0.9591329862360162,0.9583266364269376,0.933169574224992,0.935615930490058,0.9435744022018017,0.9594730241311332,0.9410626049585757,0.9468817435952432,0.9471687496698592,0.9385035655109808,0.9640263994909498,0.962534976577234,0.9673171779707823,0.9555519769489836,0.8954728233036443,0.9483777640700464,0.9556434766151144,0.9371296655937496,0.9282368832704015,0.9439247890157466,0.9545911320626465,0.9508004015669793,0.9425631524200571,0.9811132328959555,0.9734125020082414,0.946622111144672,0.893871268270092,0.9821099469777868,0.931091654559267,0.9729618750913005,0.9559043347539184,0.891279644526139,0.9795386167486607,0.9534008220914163,0.8856107807686319,0.847806670677312,0.7946155749405089,0.969481162392637,0.9466761488930702,0.9694955405192254,0.9710881904387537,0.9844642380951574,0.9817436229882786,0.9793544096314709,0.9636200612001303,0.9787492495319907,0.9621403623535933,0.9690616315075996,0.9531195874882135,0.922234317614879,0.9620662558497362,0.9482908803049478,0.8955689265600171,0.9127472409731229,0.9596731004387427
1,BigResUNetTrainerV4_cs128_base_no_mirror_ep2k_lr001_all,0.862224887509673,0.8535806984512863,0.9564565836375082,0.9672330376189896,0.9687178958369017,0.9564879112964425,0.9255130991984423,0.971870685790768,0.8830193058369005,0.803532378020623,0.9380949200174168,0.8584078917255037,0.9062183003061133,0.931783966101458,0.8407966358943869,0.9699804088051253,0.9729524291123668,0.9657659327550362,0.9666022940427761,0.942554831462264,0.9514751315472099,0.8977219973930223,0.9439213453647696,0.9374378781875662,0.9647843426297584,0.9561348553975917,0.9837515550417727,0.9843718767902064,0.8487744368706408,0.6588167389158809,0.9112993254466392,0.9049535394242276,0.9224686217685902,0.9102991448184401,0.8947313889536047,0.9376416883695157,0.9219908879327718,0.945537912926958,0.9170973921976971,0.9530487874090331,0.979242135365914,0.9812444887533627,0.9697772195375968,0.9641016469371485,0.9162018829040288,0.8292570525428593,0.8459077406823251,0.8959864753263126,0.9514874555824807,0.9285291756298607,0.9324670657308858,0.9145226113832375,0.9260851782143394,0.9434386356295862,0.9567791056948401,0.9271268756247525,0.9264560064053735,0.9111872707831329,0.9136421309310795,0.9259313204026945,0.9536143766583614,0.9320673437301227,0.9355673976221783,0.8861917749162616,0.965384211338039,0.9411741307514878,0.9494776497018277,0.9296476727696941,0.9418216881328808,0.9479633471179834,0.944702517763314,0.9225465113287628,0.9761786313165295,0.9435882774514782,0.9356898211327144,0.9047305955706388,0.9802604900561742,0.9295747486163981,0.9673895769292252,0.952890423383022,0.8788207206548572,0.970325859913382,0.9503945251745783,0.8757246313244238,0.7877788201582663,0.6980226120711148,0.9593125817531063,0.937837990219354,0.964104526041919,0.9538246177063929,0.9782938530348436,0.974471509358249,0.9706548231013641,0.9606234553349315,0.9687573816089067,0.9552919433452236,0.9598781429382385,0.9451111322786033,0.9160724378540803,0.9552564354102864,0.9348036485528272,0.8888354742107597,0.9100673750307232,0.9669828258230885
2,BigResUNetTrainerV4_cs128_base_no_mirror_ep1k_lr0003_all,0.8464545322200608,0.8507225336738204,0.9559359400524773,0.9682131468656723,0.9646802693368032,0.9563705032436032,0.9459812400581838,0.9670687981791332,0.8723641492911343,0.7676679091749433,0.9217618448007106,0.8465240079457804,0.9040392667870757,0.9273756304278079,0.7819897327291436,0.9695333904270945,0.9697059798092784,0.9572991364238181,0.9611221729339571,0.9341677318944439,0.9415990035302306,0.911351092008634,0.9403876186588085,0.9309740820446324,0.9609746366883078,0.9518928623654305,0.9821689467317729,0.9821156945107113,0.8413810165208202,0.6671665776549355,0.896998913436387,0.8767255792716901,0.9095482437602231,0.8998285115792914,0.8819243971033313,0.9314821358501307,0.9099294358287675,0.9405854313790434,0.9153624409287967,0.9536205270316562,0.9650157422608312,0.9779013556368581,0.9652301816799428,0.9680882386681889,0.9169448721703255,0.8156825539535771,0.8295536831575251,0.8917094298499674,0.9466497879992436,0.9458772141567264,0.9430352284586613,0.918818796281735,0.9057450924685643,0.9126754736541837,0.9307964640354399,0.9141092067137364,0.9095734730764068,0.9191937508815893,0.9028580436090572,0.9397398014407262,0.9469562383414734,0.9360865047442558,0.9392710746944392,0.8780125064870152,0.959259633928469,0.9427154147956006,0.9539950876719558,0.9315746751240116,0.9281001062549876,0.9180594655824283,0.9128631219977034,0.9314420312019165,0.9723006112120353,0.9239111843665081,0.9336537876117762,0.893030214271934,0.9791977578191003,0.923597101420679,0.9640832030034795,0.9451569902030212,0.8718872536969459,0.9640293947639648,0.9274591483876229,0.865242191359822,0.7408552312089907,0.6397918703805978,0.947264673492066,0.9286500203053933,0.9424270319650333,0.9412911769382774,0.9710505142374686,0.9663795776978049,0.9619781492058973,0.9456662306837154,0.9677772016240856,0.9449809568726899,0.9533755677581945,0.9385234532955175,0.9082410224557054,0.9481621668185267,0.9235319880609035,0.8746618878244328,0.8954134650736191,0.9440158404000965
3,BigResUNetTrainerV4_cs128_large_no_mirror_ep2k_lr0003_all,0.8947843262077896,0.8894366858107076,0.9623007834263013,0.9772575831289191,0.9743852309430346,0.961949571352225,0.9562401822531056,0.9779141500968742,0.8822599923998384,0.8197036857750064,0.9542958347708017,0.8917951637345274,0.9159640443563666,0.9350445828218996,0.8644600676630402,0.977118787238948,0.9795492797024627,0.9755608475099655,0.976514248696484,0.9586212565673055,0.9662620199273343,0.9002345115679931,0.9527306853204494,0.9463856356682376,0.9693978406025822,0.962733998167308,0.9879547776860643,0.9882291359904524,0.8537613122714245,0.6770059941871449,0.9399300186138688,0.9208181966293437,0.938971020055056,0.9261914655109785,0.9046210150494316,0.9502537092574297,0.9292127267813537,0.9461872065767027,0.9224749467241848,0.9559079330493104,0.9839469619585984,0.9875370026218836,0.9717797868637514,0.9759003547769599,0.9166090974498233,0.8547748590481207,0.8612717670539553,0.9128360291100808,0.9621129458818113,0.9480669523900711,0.951333559678525,0.923182777377602,0.9615346238658293,0.9429247177847098,0.9696383170728179,0.9424603132779695,0.9408879947984012,0.9217971605019046,0.9268473373237229,0.9455495123645747,0.9600393931926491,0.9566050563878368,0.9477559256354666,0.882291454677321,0.9743493848195462,0.9489846336174143,0.9512134336992125,0.9273351229302379,0.9388998940193556,0.9435604465303427,0.9487647237536828,0.9360907376784495,0.982077294065201,0.9748889295686782,0.9472896231129296,0.8954352422257139,0.9828391224216321,0.9331550694681202,0.9722581550290392,0.9551654351620753,0.8883152542809981,0.9793750146615186,0.9644997315401217,0.8871696227878779,0.8022921207990116,0.7741584749733382,0.970351074010827,0.9561389602075251,0.9807051388455292,0.9543115737239489,0.9865850677325454,0.9838142262682573,0.9802669419325338,0.9647133553465087,0.9779348044142432,0.9632897534361488,0.9694276680895947,0.9537179160624144,0.9392132884450433,0.9546234386318374,0.9324724767604207,0.8691447781684838,0.9078325955545131,0.9662687271807741
4,BigResUNetTrainerV4_cs128_base_no_mirror_ep2k_lr0003_all,0.8686683236767675,0.8622055532207618,0.958156999283418,0.9708965803371808,0.969323282489862,0.9534196220576169,0.950121971802958,0.9721857603315968,0.8803858157098481,0.7958977403878807,0.9406532316564044,0.8542482783457862,0.9079549808031468,0.9313242050715563,0.8446774944470608,0.9721812068467814,0.9737283679952273,0.9661125256155825,0.9678922782626033,0.945328034112689,0.9516713423586045,0.899547369826089,0.9488917263847871,0.9381131584391038,0.963796074604309,0.9575101864089655,0.9846356009747699,0.9849751559761917,0.8470834120484392,0.662271023714392,0.9128102836381774,0.8976933611613493,0.9254938156687144,0.9134107600560003,0.8849951115882243,0.9364914268373,0.9221453484213668,0.9428374509263348,0.9166652971139745,0.9538081443047098,0.9689039977576915,0.984370247189199,0.9692036400313361,0.9710601881607998,0.9162436386082694,0.8265134334130353,0.8435475458620303,0.9006689844268495,0.9522661238704209,0.9297722134076076,0.9336569838331827,0.9120012482300458,0.9149013660879242,0.9312691625762266,0.9551303659462167,0.9239996772355119,0.916480256508391,0.9075917060015624,0.8944380831374451,0.9247626417451148,0.9535019849558787,0.9307437081257467,0.9389172677428058,0.8766889792481489,0.9625359114361252,0.941532404382042,0.9589458876267969,0.9314080999707257,0.9050529736385311,0.927890879736941,0.9417147622468474,0.932713234438215,0.97688494294719,0.9437591289727748,0.9385552907002628,0.89547316991185,0.9807480609306682,0.9245482318723337,0.9690240568672003,0.9447821368059997,0.8804414410033566,0.9709791019416667,0.9452994462215497,0.8779326337528495,0.7879827251250686,0.7396979292692025,0.9544325196544317,0.9351366100325558,0.9476070667404471,0.9516926932362373,0.9797336153043357,0.9750172534739335,0.9652446271444419,0.9595642317448349,0.9726843873903506,0.9457795415211656,0.9557040270100383,0.9380845196877454,0.9242462957829333,0.9528875962770528,0.9416002862906853,0.8982848164073366,0.9119289840595635,0.9634418194062577
5,BigResUNetTrainerV4_cs128_large_no_mirror_ep1k_lr001_all,0.8949354741749878,0.8880755487014278,0.9607829031207765,0.975160451071664,0.9725602436319737,0.9488774088799066,0.9530609015351874,0.9756295071795147,0.8917936231339141,0.8322075544128367,0.9486631093649107,0.7215998575612043,0.9073505219160318,0.9336451780873565,0.8588096449100447,0.9730077153118214,0.9759445645925392,0.9695949107832412,0.9719526824813765,0.949236831588938,0.9589694942360658,0.9090105675584682,0.9453120957689912,0.9434300746993581,0.96804897073501,0.9584948009668358,0.9864529786929969,0.9869992584476518,0.8453401427188851,0.6631684475930338,0.9357488110349874,0.913850803543575,0.9354274109659394,0.9229106113197751,0.8995447883966667,0.9433000350244363,0.9225836749399082,0.9491637527130045,0.9213720218034169,0.9536462847354751,0.9832514261640278,0.9842384185180858,0.9713999218517771,0.9705533129555279,0.9169052876999662,0.8673244651350346,0.8657598169420979,0.9052173303940206,0.9594981012266647,0.9394492537184821,0.9514881369076463,0.928046520975212,0.9311412272608166,0.9498462683335243,0.9603256000013687,0.9299641884090586,0.9261974221773664,0.9247398102734983,0.9191944463884142,0.9325799809562929,0.9609725856569312,0.9661729772058877,0.9590555007526725,0.8955608978375827,0.9725638493920908,0.9495225004073824,0.9686835273078572,0.9443706450548934,0.9614598554983781,0.970478626979906,0.9675756226498994,0.9516456251296511,0.9806113926371143,0.97167449828329,0.9434810409565683,0.913004689994204,0.9813230015329932,0.9299677240701787,0.9738477439549377,0.9556781843208418,0.8912758912831903,0.9789474475758576,0.9446134241592031,0.8806615137782641,0.7987443142828082,0.7265206945510306,0.9686274776059614,0.9362805770923633,0.9795757201744045,0.9475342287130349,0.9840434282676308,0.9806185887552228,0.9779451318249623,0.9632244714724575,0.9720929190826264,0.9507161885677425,0.9673556384593237,0.9525664610344001,0.946639271042223,0.9579950340912112,0.9342899934709238,0.8899566117771867,0.9138980358952444,0.9686969647544684
6,BigResUNetTrainerV4_cs128_base_no_mirror_ep4k_lr0003_all,0.877632752830294,0.8639636214081219,0.9579719964838729,0.9751310722176779,0.9723421057976601,0.9578635260150794,0.9524292688758413,0.9751223591261617,0.881459832271896,0.7821214450552596,0.9431164493010973,0.8744509835740554,0.9169186661553699,0.9331902672420073,0.8592041209246526,0.9739073312004596,0.9762915861156383,0.9705741435881236,0.9730411566359524,0.9503254137439562,0.9577307976374,0.9190858645069773,0.9555399614542132,0.9425726108659455,0.9668523768147778,0.9603601590747027,0.9857378091467216,0.9860913901096144,0.8491982702041033,0.6605475131105158,0.9237729237189555,0.910024905651929,0.9325122212947377,0.9178617679146452,0.901963768392016,0.9433596464248686,0.924918664084958,0.9453201356848162,0.9209847582240144,0.9542018773761362,0.9823555434537589,0.9867112448424731,0.9701523109366895,0.9693945458382356,0.9167237593585577,0.8469625747165378,0.8547305345806268,0.9044191649750772,0.9555366858707027,0.9339117951182945,0.943339727691957,0.9133186202725224,0.9458752378588301,0.9464660511760377,0.9593258627730012,0.933047448360249,0.935964598160691,0.9381280094299294,0.9186830010872202,0.9344080064150972,0.9574573648605216,0.9253512689005896,0.9409816684921064,0.8801771854512305,0.9699390283886519,0.964107624910723,0.9685738890761094,0.9434411822414736,0.9422933006180427,0.9510058644216962,0.9461792593084363,0.9276332131616475,0.9796945521825952,0.9693404204934932,0.9417602838762715,0.9024163404242719,0.9818081677859167,0.9297355613120851,0.9706868745714,0.9533607982350013,0.8850727812906583,0.9753906890223483,0.9450474118422755,0.880605877839146,0.7960573471021875,0.7560162055899968,0.9612650235230689,0.9497804346712448,0.9726574841853193,0.9368131162431621,0.9830122157554172,0.9787763074068215,0.9739516619511821,0.9616886682607291,0.9644515044512514,0.9571213018872033,0.9648536491505441,0.9508717898064954,0.9390628362693011,0.9634120069744534,0.946952861389539,0.9065693965671141,0.9185905094828887,0.9696611038456169
7,BigResUNetTrainerV4_cs128_huge_no_mirror_ep4k_lr0003_all,0.9069431098329933,0.9044328814025365,0.9607865536091204,0.9786260107872138,0.9772130890813606,0.9677722558445142,0.9585894053831681,0.9810908087108429,0.887818714948208,0.8190140921534766,0.9586504451451819,0.9254098386074953,0.9175674526443427,0.9389445254632681,0.8821232705583043,0.9791308856297309,0.9819744062823471,0.9786926561064457,0.9800150357860375,0.9655821854773164,0.9715634294629154,0.9401334187347901,0.9556584405805816,0.9507514960439479,0.9714288073176593,0.9649182966412663,0.9903581663665495,0.9904737207771194,0.8514076717437743,0.6809456516656117,0.9454282886437583,0.9256737599632566,0.9466090042418114,0.927364176752765,0.8946146248634071,0.9523685750262425,0.9279794012466664,0.9474568852127965,0.9230765389793167,0.9659624838684735,0.9851852893075377,0.9885060503482637,0.9733366104398005,0.9769423005656723,0.9185278167452071,0.8686056496546442,0.8729365315071108,0.9132100280498268,0.9644658540198178,0.9527968891022496,0.9612558970001603,0.9425070137742604,0.9379013091650009,0.9601620113998485,0.9745619450236335,0.9483200383644362,0.9610996632856397,0.9550822870717921,0.9363567140293523,0.9486641294412959,0.9642215305350154,0.9750250935535033,0.9723716342351109,0.9099100552022259,0.9769532479298996,0.9718066311148257,0.9677438473693155,0.9473426092657184,0.9570088463526502,0.9698768259379282,0.9666805076233771,0.9523737084943953,0.9844445154194523,0.9776254177319242,0.9509658480607104,0.8958401827679705,0.9834706709690773,0.9279751804171544,0.9757348800182741,0.954860965334851,0.8986428443839191,0.9834279994877847,0.9659094016381803,0.884367534778031,0.8730299886451798,0.8146192538535009,0.9738667634764318,0.9605549005267777,0.9840174512481471,0.9804478530478263,0.9884608848181071,0.9857494324328101,0.9830328321584282,0.9665814658505294,0.9787410841984142,0.9638185317026047,0.9721522692352926,0.9564142515770715,0.9227155085233064,0.9526433860137459,0.9328144235689868,0.8889566045308647,0.917464613074811,0.9713775217789845
8,BigResUNetTrainerV4_cs128_huge_no_mirror_ep2k_lr0003_all,0.8914674630501707,0.8890791832709748,0.9615270591267645,0.9782803798742764,0.9759145519771886,0.9570819583483687,0.9574142436976277,0.9799415810613263,0.8905827703315231,0.8135160831605223,0.9579967925783963,0.9191997270530602,0.9155678999859153,0.9378902469406168,0.8662763853053733,0.9768871001387291,0.9804116739040295,0.977220885167555,0.978564595894209,0.9621362769222717,0.9682799761238698,0.9135191283668482,0.9562153701148322,0.9494237992620037,0.9699872801158875,0.9644900695696884,0.9888844777970086,0.9893566028062147,0.8452876511416656,0.6649992818028905,0.940381636684452,0.9212377545341954,0.9428180441176505,0.9300779187926378,0.9069995715621619,0.9520417456250133,0.9240853914222047,0.9466743195533446,0.923434749870833,0.9683789588347225,0.9845251847316725,0.9875792860581946,0.9730126993966404,0.9769536321112355,0.9194454912889981,0.8698977027473752,0.8639120511002862,0.9114450843318597,0.9636213740821884,0.943418418666926,0.9357195288718868,0.9307745483776738,0.9584754394943694,0.9580290628098483,0.9690335222015213,0.939412104021542,0.9475677587492028,0.9432199219656504,0.9426867403493331,0.9556739849159988,0.9664149367645581,0.9596877650224386,0.950206884550659,0.8846958038267047,0.9762717075487697,0.9513043978776234,0.9468817438845222,0.9336333440175675,0.9604394452252089,0.9653801688337585,0.9589981947406677,0.9591661873541804,0.9835965110865481,0.9757774964151981,0.949020798920859,0.8949120067951237,0.9828924664452637,0.9338211064072303,0.975085226170772,0.9545098619411202,0.8921395932921597,0.9821920689637782,0.9601920220657273,0.8829504936972533,0.8872627115801155,0.838575174986877,0.9716850365265732,0.9500951467784275,0.9833995577017642,0.9784587429861134,0.9874338948722315,0.9854240467581491,0.9820437047771541,0.9655626677787115,0.9710300931361605,0.9631453674062371,0.9711917609435294,0.9559179876118573,0.9270499048801847,0.9611252264397493,0.9405450375836105,0.9049014042974571,0.9262559897474247,0.9750838043113393
9,BigResUNetTrainerV4_cs128_large_no_mirror_ep4k_lr0003_all,0.8975688685751188,0.9000743225733291,0.9617845811828942,0.9774831121655557,0.9765683202774659,0.9574856066019242,0.9572854963732704,0.9790383667575527,0.8890121439765376,0.8277716210568148,0.9540315626004052,0.9247458021870513,0.9191165586447991,0.937518296111431,0.8751571767392773,0.9788322903671421,0.9808556236537599,0.9781001179702169,0.9792850241454024,0.9638195178250513,0.9694280735352621,0.9062363442772213,0.952991844310765,0.9508607331907367,0.9706256206221704,0.9636103653413423,0.9891705738104561,0.9895796719342358,0.8488383236925191,0.6739799801299969,0.9418980804166217,0.9219391554476734,0.9434752738902706,0.9300780992434805,0.9063737773316745,0.9526922816672534,0.9329828495989287,0.9510729165880274,0.9230531621398212,0.9701643465777708,0.9849823791412472,0.9878608553634319,0.9702859940491848,0.9778994598755772,0.9180212695756649,0.8574503637989972,0.8650046990893858,0.9104893523098241,0.9643249307520615,0.9260700528977243,0.9290275440575455,0.9133609465651586,0.9536922843331694,0.958656997178374,0.9753300965431361,0.9498057423607112,0.9555629159985961,0.9475231468231808,0.9255264799822767,0.9338589829860402,0.9669773698096472,0.9625341220876541,0.9580995311754946,0.8995925425148144,0.976477944700238,0.9508004393513954,0.9523994800871591,0.9379700460701837,0.9576319923893047,0.9675312049395084,0.9617328608226582,0.9426633136147373,0.9828188696121397,0.9755527856585208,0.950729930264358,0.9142038683396129,0.9834989494029749,0.931195400445377,0.9716371466922731,0.9602618869242171,0.8978717029385223,0.9819501224972718,0.9599676454804615,0.8838969009696446,0.8382202310680716,0.7399001318335097,0.9718912714275117,0.9570864395233495,0.9763885616577106,0.9789817611398065,0.9872523975138658,0.9849695699648585,0.9817550192773915,0.9653228454454559,0.973040879347613,0.9638691715540599,0.970886994772577,0.9555063435819733,0.9342411260238461,0.9562015876894383,0.9354753815016602,0.925118259435284,0.9249962653346097,0.9736531198501838
10,BigResUNetTrainerV4_cs128_base_no_mirror_ep1k_lr001_all,0.8525279589998992,0.8526499876901046,0.9564185098012178,0.9682873262315359,0.9656494735624327,0.9550246327265204,0.9474639711179722,0.968277603253848,0.8816492728508879,0.8002745858515152,0.9314188203022657,0.8533278629637503,0.9043258569735454,0.9289485975505624,0.8296975621906609,0.9679202335536825,0.9700838358817923,0.9608666672536774,0.9636488508089415,0.934922045207483,0.9441074711830739,0.8932944892707552,0.9430177265551705,0.9301737775431665,0.9615435166407622,0.9515819315473867,0.9824688654682198,0.9828226805043492,0.845350641259125,0.6634362387836936,0.9078984572153733,0.889446103221788,0.9187403224297411,0.9066066093632293,0.8790848817109334,0.931866309464996,0.9146794764541888,0.9438557758003416,0.9204579777006184,0.9532794121544851,0.9711769160358606,0.9828729248775482,0.9655309253605449,0.963147453697932,0.9148598838687508,0.8557903922115482,0.8430414002980559,0.8888884895018215,0.9506857836362202,0.949421881005566,0.9496446263454804,0.9293628831153663,0.9431629969830997,0.9292304450500849,0.9557624391218453,0.9244281598198075,0.9190553610950143,0.9017377900578554,0.9026283087378966,0.9429134414293454,0.9519240296187522,0.949332746394281,0.9583090230019286,0.8983256724787818,0.9638507359224895,0.9382324594691619,0.9455806187913223,0.9305115104155429,0.936404779942012,0.9533817946926174,0.948504336764382,0.9298133189218228,0.9719190512760846,0.9618122342243319,0.9344588349778422,0.900404838958263,0.9797004094906002,0.9260690497665032,0.9655826135557702,0.9427146942285639,0.8738439407974106,0.968432118867014,0.8854955100571628,0.8737288518484922,0.7789006159994971,0.6829306401927508,0.9534517392957537,0.9283404289753984,0.9442133486471257,0.9485071810774843,0.9767224017982913,0.9721373792934433,0.9660715933045456,0.9580883812694017,0.9698525610564431,0.9440412599054059,0.9576905708480448,0.9435014312847746,0.9343169270443179,0.9540726977748105,0.9383543008252082,0.8877489221183321,0.908709820470282,0.9608199428548967
